КодНИС;НаименованиеНоменклатуры;ВидДлины;Производитель;ГОСТ;МаркаСтали;Диаметр;Диаметр;Размер2;Стенка;ТипПроизводства;РегионСклада;Склад;ИмеетсяЦенаТовара;ЦенаЗаТонну;ЦенаЗаТонну1;ЦенаЗаТонну2;ЦенаЗаМетр;ЦенаЗаМетр1;ЦенаЗаМетр2
"937234";"ТРУБЫ бесш г/д ГОСТ 8731-74.8732-78 ГР.В, Ст20, 219 * 10, НК, ЧТПЗ";"НК";"ЧТПЗ";"8732-78, 8731-74, В";"20";219;219;0;10;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";76250.01;76250.01;76250.01;3930.03;3930.03;3930.03
"937614";"Труба б/ш х/д ГОСТ 8734-75, ГОСТ 8733-74 Группа В, Ст45, 36 * 5.5  , КР, ПНТЗ";"КР";"ПНТЗ";"8734-75, 8733-74, В";"45";36;36;0;5.5;"Холоднодеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"937998";"ТРУБЫ бесш г/д ГОСТ 8731-74.8732-78 ГР.В, Ст20, 273 * 12  ,ОГР/Д, ЧТПЗ";"ОГР";"ЧТПЗ";"8732-78, 8731-74, В";"20";273;273;0;12;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"941059";"ТРУБЫ х/д нерж ГОСТ 9941-81, Ст08Х18Н10Т, 32 * 3  , НК, ПНТЗ";"НК";"ПНТЗ";"9941-81";"08Х18Н10Т";32;32;0;3;"Холоднодеформированные трубы";"52";"Склад г. Нижний Новгород (ООО ""Авангард"")";"Нет";0;0;0;0;0;0
"942463";"ТРУБЫ х/д нерж ГОСТ 9941-81, Ст12Х18Н10Т, 8В* 1  , МР, ПНТЗ";"МР";"ПНТЗ";"9941-81";"12Х18Н10Т";8;8;0;1;"Холоднодеформированные трубы";"52";"Склад г. Нижний Новгород (ООО ""Авангард"")";"Нет";0;0;0;0;0;0
"944920";"Труба б/ш х/д ГОСТ 8734-75, ГОСТ 8733-74 Группа В, Ст10, 50 * 4.5  , МР, ПНТЗ";"МР";"ПНТЗ";"8734-75, 8733-74, В";"10";50;50;0;4.5;"Холоднодеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"945763";"ТРУБЫ х/д котл выс давл ТУ 14-3Р-55-2001, Ст20, 38*4 , НД, ПНТЗ";"НД";"ПНТЗ";"ТУ 14-3Р-55-2001";"20";38;38;0;4;"Холоднодеформированные трубы";"54";"Склад г. Новосибирск (""Феррум"")";"Нет";0;0;0;0;0;0
"946090";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С, 108 * 5  , Н/Д";"НД";"СТОР.ПР-ЛЬ";"8732-78, 8731-74, В";"09Г2С";108;108;0;5;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";78750.01;78750.01;78750.01;1000.16;1000.16;1000.16
"949694";"Труба б/ш х/д ГОСТ 8734-75, ГОСТ 8733-74 Группа В, Ст10, 40 * 1.6  , МР, ПНТЗ";"МР";"ПНТЗ";"8734-75, 8733-74, В";"10";40;40;0;1.6;"Холоднодеформированные трубы";"52";"Склад г. Нижний Новгород (ООО ""Авангард"")";"Нет";0;0;0;0;0;0
"2292813";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст30ХГСА, 127 * 18  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"30ХГСА";127;127;0;18;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";90833.34;89166.67;87500.01;4394.95;4314.31;4233.67
"2292823";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст30ХМА, 219 * 45  , КР, ПНТЗ";"КР";"ПНТЗ";"8732-78, 8731-74, В";"30ХМА";219;219;0;45;"Горячедеформированные трубы";"54";"Склад г. Новосибирск (""Феррум"")";"Нет";0;0;0;0;0;0
"2292921";"ТРУБЫ г/д котл выс давл ТУ 14-3Р-55-2001, Ст12Х1МФ, 108 * 9  , НК, ПНТЗ";"НК";"ПНТЗ";"ТУ 14-3Р-55-2001";"12Х1МФ";108;108;0;9;"Горячедеформированные трубы";"54";"Склад г. Новосибирск (""Феррум"")";"Нет";0;0;0;0;0;0
"2293016";" ГОСТ 32528-2013 Группа В, Ст45, 100 * 20  , ОД, ПНТЗ";"ОД";"ПНТЗ";"32528-2013, В";"45";100;100;0;20;"Горячедеформированные трубы";"61";"Склад г. Батайск (ООО Мост-терминал)";"Нет";0;0;0;0;0;0
"2293055";" ГОСТ 32528-2013 Группа В, Ст45, 130 * 19  , ОД, ПНТЗ";"ОД";"ПНТЗ";"32528-2013, В";"45";130;130;0;19;"Горячедеформированные трубы";"61";"Склад г. Батайск (ООО Мост-терминал)";"Нет";0;0;0;0;0;0
"2314423";"ТРУБЫ г/д нефт бесш корроз ТУ 1317-006.1-593377520-2003, Ст13ХФА, 108 * 6  , НК";"НК";"СТОР.ПР-ЛЬ";"ТУ 1317-006.1-593377520-2003";"13ХФА";108;108;0;6;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"2314625";" ТУ 14-159-1128-2008, Ст09Г2С, 108 * 14  , МР, ПНТЗ";"МР";"ПНТЗ";"ТУ 14-159-1128-2008";"09Г2С";108;108;0;14;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"2314644";"Труба б/ш х/д ГОСТ 8734-75, ГОСТ 8733-74 Группа В, Ст10, 20 * 1.6  , НК, ПНТЗ";"НК";"ПНТЗ";"8734-75, 8733-74, В";"10";20;20;0;1.6;"Холоднодеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"2314708";"Труба б/ш х/д ГОСТ 8734-75, ГОСТ 8733-74 Группа В, Ст40Х, 18.4 * 3.05 * 12.3  , НБ, ПНТЗ";"НБ";"ПНТЗ";"8734-75, 8733-74, В";"40Х";18.4;18.4;12.3;3.05;"Холоднодеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"2314751";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст09Г2С-12, 108 * 5  , НК, ПНТЗ";"НК";"ПНТЗ";"8732-78, 8731-74, В";"09Г2С-12";108;108;0;5;"Горячедеформированные трубы";"55";"Склад г. Омск (ООО ""УралСибТрейд-Омск"")";"Нет";0;0;0;0;0;0
"2316274";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст30Г2, 102 * 6.1  , ОД, ЧТПЗ";"ОД";"ЧТПЗ";"8732-78, 8731-74, В";"30Г2";102;102;0;6.1;"Горячедеформированные трубы";"74";"Склад г. Челябинск (АО ""Челябтехоптторг"")";"Нет";0;0;0;0;0;0
"2316406";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 83 * 8  , МР, ПНТЗ";"МР";"ПНТЗ";"8732-78, 8731-74, В";"20";83;83;0;8;"Горячедеформированные трубы";"59";"Склад г. Пермь (ОАО ""Центральный Агроснаб"")";"Нет";0;0;0;0;0;0
"2316604";"Труба б/ш х/д ГОСТ 8734-75, ГОСТ 8733-74 Группа В, Ст40Х, 30.4 * 4.55 * 21.3П  , НБ, ПНТЗ";"НБ";"ПНТЗ";"8734-75, 8733-74, В";"40Х";30.4;30.4;21.3;4.55;"Холоднодеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"2316720";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 140 * 14  , МР, ПНТЗ";"МР";"ПНТЗ";"8732-78, 8731-74, В";"20";140;140;0;14;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"2316828";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 203 * 40  , КР, ПНТЗ";"КР";"ПНТЗ";"8732-78, 8731-74, В";"20";203;203;0;40;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";76250.01;76250.01;76250.01;12260.18;12260.18;12260.18
"2316943";"ТРУБЫ х/д толст крекинг ГОСТ 550-75 Группа Б, Ст20, 76 * 4  , НД, ПНТЗ";"НД";"ПНТЗ";"550-75, Б";"20";76;76;0;4;"Холоднодеформированные трубы";"52";"Склад г. Нижний Новгород (ООО ""Авангард"")";"Нет";0;0;0;0;0;0
"2317054";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа Б, Ст17Г1С, 102 * 9  , КР, ПНТЗ";"КР";"ПНТЗ";"8732-78, 8731-74, Б";"17Г1С";102;102;0;9;"Горячедеформированные трубы";"42";"Склад г. Новокузнецк (ОАО ""Новокузнецкметаллоптторг"")";"Нет";0;0;0;0;0;0
"2317132";"ТРУБЫ г/д котл выс давл ТУ 14-3Р-55-2001, Ст20, 133 * 13  , МР, ПНТЗ";"МР";"ПНТЗ";"ТУ 14-3Р-55-2001";"20";133;133;0;13;"Горячедеформированные трубы";"54";"Склад г. Новосибирск (""Феррум"")";"Нет";0;0;0;0;0;0
"2317135";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 194 * 16  , КР, ПНТЗ";"КР";"ПНТЗ";"8732-78, 8731-74, В";"20";194;194;0;16;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"2317177";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 219 * 18  , МР, ПНТЗ";"МР";"ПНТЗ";"8732-78, 8731-74, В";"20";219;219;0;18;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";0;0;0;0;0;0
"2317177";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 219 * 18  , МР, ПНТЗ";"МР";"ПНТЗ";"8732-78, 8731-74, В";"20";219;219;0;18;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
